id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+19962,,NA,NA,NA,NA,NA,NA,NA,Red Entertainment,Microsoft Game Studios,NA,Simulation,NA,NA,"April 24, 2003"
+38799,,NA,NA,NA,NA,NA,NA,NA,Stormcloud Games,NA,NA,"Third-Person, Action, Adventure, Roguelike","August 09, 2016","August 09, 2016",NA
+53256,!4RC4N01D!,NA,NA,0.5666666666666667,0.5666666666666667,NA,NA,NA,armogames,armogames,PC,Arcade,"January 12, 2018","January 12, 2018",NA
+53257,!4RC4N01D! 2: Retro Edition,NA,NA,1,1,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+54173,!4RC4N01D! 3: Cold Space,NA,NA,1.5,1.5,NA,NA,NA,Armogames,Armogames,PC,Arcade,2018,2018,NA
+55054,!4RC4N01D! 4: KOHBEEP edition,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+57569,!AnyWay!,NA,NA,2,2,NA,NA,NA,"SGS, GQG Dev",Sgs,PC,NA,"June 06, 2018","June 06, 2018",NA
+57778,!Dead Pixels Adventure!,NA,NA,1.5,1.5,NA,NA,NA,DackPostal,DackPostal Games,PC,"Action, Adventure","June 12, 2018","June 12, 2018",NA
+45549,#Archery,NA,NA,NA,NA,NA,NA,NA,VRUnicorns,Bandello,NA,"Virtual Reality, Sports","December 19, 2017","December 19, 2017",NA
+61322,#CuteSnake,NA,NA,0.2833333333333333,0.2833333333333333,NA,NA,NA,Sunrise9,Sunrise9,PC,NA,"March 13, 2018","March 13, 2018",NA
+62640,#CuteSnake 2,NA,NA,0.26666666666666666,0.26666666666666666,NA,NA,NA,Sunrise9,Sunrise9,PC,NA,"April 20, 2018","April 20, 2018",NA
+56010,#Have a Sticker,NA,NA,0.6,0.6,NA,NA,NA,Red Dolphin Games,VT Publishing,PC,Puzzle,"April 26, 2018","April 26, 2018",NA
+23224,#IDARB,NA,NA,NA,NA,NA,2,NA,Other Ocean,Other Ocean,Xbox One,"Arcade, Platform, Sports","January 30, 2015",NA,NA
+23810,#KillAllZombies,NA,NA,29.5,29.5,NA,NA,NA,BEATSHAPERS,NA,NA,"Top-Down, Action","October 28, 2014",NA,NA
+38791,#SelfieTennis,NA,NA,NA,NA,NA,NA,NA,VRUnicorns,"Bandello, Devolver Digital",PC,"Virtual Reality, Sports","April 01, 2016",NA,NA
+54476,#WarGames,2,3,NA,2.5,NA,NA,NA,Eko,Eko,PC,"On-Rails, Adventure","March 14, 2018","March 14, 2018",NA
+45636,#monstercakes,0.25,NA,0.4,0.36666666666666664,NA,NA,NA,Paleno Games,Paleno Games,PC,NA,"May 05, 2017","May 05, 2017",NA
+40541,$1 Ride,0.6166666666666667,NA,NA,0.6166666666666667,NA,NA,NA,BeHappy Studios,Back To Basics Gaming,PC,Action,"July 28, 2016",NA,NA
+18,'Splosion Man,8,10,18,9,NA,NA,NA,Twisted Pixel Games,Microsoft Games Studios,"Xbox 360, Xbox One","Action, Platformer","July 22, 2009","July 22, 2009",NA
+38074,'n Verlore Verstand,6,NA,NA,6,NA,NA,NA,Skobbejak Games,Skobbejak Games,PC,"Virtual Reality, Adventure","February 01, 2016",NA,NA
+45098,.EXE,NA,NA,NA,NA,NA,NA,NA,Two Man Army Games,Two Man Army Games,NA,"Platform, Roguelike","June 16, 2016","June 16, 2016",NA
+56536,.T.E.S.T: Expected Behaviour,NA,NA,NA,NA,NA,NA,NA,Veslo Games,Veslo Games,NA,Puzzle,"May 03, 2018","May 03, 2018",NA
+12687,.detuned,0.36666666666666664,NA,1.5,1,NA,NA,NA,.theprodukkt,Sony Computer Entertainment,PlayStation 3,Interactive Art,"October 15, 2009","October 15, 2009","September 17, 2009"
+15979,.flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+48459,.hack//G.U. Last Recode,NA,NA,NA,NA,NA,NA,NA,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4","Compilation, Role-Playing","November 03, 2017","November 03, 2017",NA
+19,.hack//G.U. Vol. 1: Rebirth,20.5,25.5,39,24,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","October 24, 2006",NA,"May 18, 2006"
+20,.hack//G.U. Vol. 2: Reminisce,22.5,35.5,50,31,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","May 08, 2007",NA,"September 28, 2006"
+21,.hack//G.U. Vol. 3: Redemption,23.5,32.5,48,29,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","March 25, 2008",NA,"January 18, 2007"
+50336,.hack//G.U. Vol. 4: Reconnection,2,2.5,5,2.5,NA,NA,NA,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4",Role-Playing,"November 03, 2017",NA,NA
+22,.hack//Infection,18,20.5,28.5,20.5,NA,NA,NA,"CyberConnect2 Co., Ltd.",Bandai S.A.,PlayStation 2,"Action, role-playing","February 11, 2003",NA,NA
+23,.hack//Link,29,49.5,NA,43.5,NA,NA,NA,CyberConnect2,Namco Bandai Games,PSP,Role-Playing,NA,NA,"March 04, 2010"
+24,.hack//Mutation,16.5,21.5,32,21.5,NA,NA,NA,CyberConnect2,Bandai Games,PlayStation 2,"Action, role-playing","May 07, 2003",NA,"September 09, 2002"
+25,.hack//Outbreak,19.5,20,22,20.5,NA,NA,NA,CyberConnect2,Bandai,PlayStation 2,Action RPG,"September 09, 2003","September 10, 2004","December 12, 2002"
+26,.hack//Quarantine,17.5,20.5,24.5,20,NA,NA,NA,CyberConnect2,Bandai,PlayStation 2,Action RPG,"January 20, 2004","December 03, 2004","April 10, 2003"
+22665,.hack//Versus,12,NA,NA,12,NA,NA,NA,NA,NA,NA,Fighting,NA,NA,2012
+62902,.kkrieger,NA,NA,NA,NA,NA,NA,NA,Farbrausch,Farbrausch,PC,"First-Person, Real-Time, Shooter",2004,NA,NA
+57459,.projekt,2.5,NA,3,2.5,NA,NA,NA,Kyrylo Kuzyk,Kyrylo Kuzyk,NA,Puzzle,"March 17, 2018","March 17, 2018",NA
+16852,//N.P.P.D. RUSH//- The milk of Ultraviolet,2,NA,NA,2,NA,NA,NA,Rail Slave Games,Kiss,PC,Action,"February 13, 2014","February 13, 2014",NA
+26968,//SNOWFLAKE TATTOO//,NA,NA,NA,NA,NA,NA,NA,Rail Slave Games,KISS,NA,"Action, Adventure","March 27, 2015",NA,NA
+58146,0 A.D.,NA,NA,NA,NA,NA,NA,NA,Wildfire Games,Wildfire Games,NA,"Real-Time, Strategy","April 01, 2010",NA,NA
+12372,0 Day Attack on Earth,NA,NA,NA,NA,NA,NA,NA,Gulti,Square Enix,NA,Shooter,"December 13, 2009",NA,NA
+64453,005 (1981),NA,NA,NA,NA,NA,NA,NA,SEGA,SEGA,NA,"Top-Down, Action, Adventure, Arcade, Stealth",December 1981,NA,December 1981
+27,007 Legends,6.5,7.5,9,6.5,NA,NA,NA,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","October 16, 2012","October 19, 2012",NA
+28,007 Legends: Skyfall DLC,0.4166666666666667,NA,0.5,0.48333333333333334,NA,NA,DLC/Expansion,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","September 11, 2012",NA,NA
+29,007 Racing,3,NA,NA,3,NA,NA,NA,Eutechnyx,Electronic Arts,PlayStation,Racing,"November 20, 2000","December 15, 2000",NA
+30,007: Licence to Kill,0.8,3,NA,2,NA,NA,NA,Quixel,Domark,NA,"Top-Down, Shooter","April 20, 1989",NA,NA
+37069,007: The Living Daylights,NA,NA,NA,NA,NA,NA,NA,Sculptured Software,Domark,NA,"Scrolling, Action",NA,1987,NA
+10278,007: The World Is Not Enough,4h,8h,8h,5h,NA,NA,NA,"Eurocom, Black Ops",Electronic Arts,"Nintendo 64, PlayStation","First-Person, Shooter","October 17, 2000","December 08, 2000",NA
